"Order ID","Product Name","Category","Customer Name","Region","State","City","Sales Amount","Profit","Quantity","Order Date","Ship Date","Payment Mode"
"ORD-2000-01001","Mobile Phone","Furniture","Customer 1","South","Kerala","Kochi","2577","319","2","2000-06-13","2000-06-14","Net Banking"
"ORD-2000-01002","Laptop","Electronics","Customer 2","South","Karnataka","Bengaluru","31416","565","4","2000-01-23","2000-01-28","Net Banking"
"ORD-2000-01003","Tablet","Office Supplies","Customer 3","South","Maharashtra","Mumbai","13676","3040","5","2000-01-07","2000-01-12","Debit Card"
"ORD-2000-01004","Desk","Furniture","Customer 4","South","Gujarat","Ahmedabad","29982","5890","4","2000-01-02","2000-01-04","UPI"
"ORD-2000-01005","Monitor","Technology","Customer 5","North","Kerala","Kochi","7631","844","3","2000-01-24","2000-01-28","Net Banking"
"ORD-2000-01006","Desk","Technology","Customer 6","South","Kerala","Kochi","6489","1302","1","2000-02-01","2000-02-05","UPI"
"ORD-2000-01007","Mobile Phone","Electronics","Customer 7","West","Delhi","New Delhi","24611","796","5","2000-06-19","2000-06-21","Debit Card"
"ORD-2000-01008","Desk","Electronics","Customer 8","South","West Bengal","Kolkata","27247","2047","1","2000-02-11","2000-02-14","Credit Card"
"ORD-2000-01009","Tablet","Furniture","Customer 9","East","Gujarat","Ahmedabad","20886","6283","1","2000-04-28","2000-05-02","Credit Card"
"ORD-2000-01010","Printer","Furniture","Customer 10","East","Karnataka","Bengaluru","28487","2726","5","2000-01-09","2000-01-12","Cash"
"ORD-2000-01011","Office Chair","Furniture","Customer 11","East","Kerala","Kochi","11882","1410","4","2000-06-14","2000-06-18","Cash"
"ORD-2000-01012","Office Chair","Office Supplies","Customer 12","North","Gujarat","Ahmedabad","27087","1779","1","2000-05-28","2000-06-01","UPI"
"ORD-2000-01013","Keyboard","Office Supplies","Customer 13","West","West Bengal","Kolkata","29225","1081","4","2000-02-09","2000-02-11","Net Banking"
"ORD-2000-01014","Monitor","Electronics","Customer 14","East","Maharashtra","Mumbai","39829","4506","1","2000-01-03","2000-01-04","Cash"
"ORD-2000-01015","Tablet","Electronics","Customer 15","East","Gujarat","Ahmedabad","37168","3118","5","2000-01-01","2000-01-04","Net Banking"
"ORD-2000-01016","Office Chair","Electronics","Customer 16","East","Maharashtra","Mumbai","28646","6769","2","2000-02-20","2000-02-22","UPI"
"ORD-2000-01017","Mobile Phone","Electronics","Customer 17","North","Kerala","Kochi","19512","579","3","2000-04-03","2000-04-06","UPI"
"ORD-2000-01018","Tablet","Furniture","Customer 18","East","West Bengal","Kolkata","10487","2258","5","2000-05-17","2000-05-19","Cash"
"ORD-2000-01019","Desk","Office Supplies","Customer 19","East","Maharashtra","Mumbai","14197","3443","6","2000-02-24","2000-02-29","Cash"
"ORD-2000-01020","Monitor","Electronics","Customer 20","South","West Bengal","Kolkata","16991","682","1","2000-01-28","2000-01-30","UPI"
"ORD-2000-01021","Laptop","Technology","Customer 21","North","West Bengal","Kolkata","17301","732","2","2000-01-19","2000-01-20","Debit Card"
